Data;QN 100 MLT;QN 70 MLT;QN (20-25);QN (2021);QN (2014);Real
19/08/2025;39.9;39.9;39.9;39.9;39.9;39.9
20/08/2025;39.76;39.71;39.72;39.69;39.71;39.6
21/08/2025;39.63;39.52;39.53;39.48;39.52;39.4
22/08/2025;39.49;39.33;39.35;39.26;39.32;39.2
23/08/2025;39.35;39.14;39.17;39.05;39.13;38.9
24/08/2025;39.22;38.95;38.98;38.84;38.94;38.7
25/08/2025;39.08;38.75;38.8;38.62;38.75;38.4
26/08/2025;38.94;38.56;38.62;38.41;38.55;38.2
27/08/2025;38.81;38.37;38.43;38.2;38.36;38.0
28/08/2025;38.67;38.18;38.25;37.99;38.17;37.8
29/08/2025;38.53;37.99;38.07;37.78;37.98;37.6
30/08/2025;38.4;37.8;37.88;37.56;37.78;37.4
31/08/2025;38.26;37.61;37.7;37.35;37.59;37.2
01/09/2025;38.14;37.43;37.49;37.12;37.4;36.9
02/09/2025;38.02;37.25;37.29;36.88;37.22;36.7
03/09/2025;37.9;37.07;37.08;36.65;37.03;36.4
04/09/2025;37.78;36.89;36.88;36.42;36.84;36.2
05/09/2025;37.66;36.71;36.67;36.18;36.65;36.0
06/09/2025;37.54;36.53;36.46;35.95;36.47;35.7
07/09/2025;37.42;36.35;36.26;35.72;36.28;35.5
08/09/2025;37.29;36.18;36.05;35.49;36.09;35.3
09/09/2025;37.17;36.0;35.85;35.25;35.9;35.1
10/09/2025;37.05;35.82;35.64;35.02;35.72;34.8
11/09/2025;36.93;35.64;35.43;34.79;35.53;34.6
12/09/2025;36.81;35.46;35.23;34.55;35.34;34.3
13/09/2025;36.69;35.28;35.02;34.32;35.15;34.1
14/09/2025;36.57;35.1;34.82;34.09;34.97;33.8
15/09/2025;36.45;34.92;34.61;33.86;34.78;33.5
16/09/2025;36.33;34.74;34.4;33.62;34.59;33.3
17/09/2025;36.21;34.56;34.2;33.39;34.41;33.0
18/09/2025;36.09;34.38;33.99;33.16;34.22;32.8
19/09/2025;35.97;34.2;33.79;32.92;34.03;32.5
20/09/2025;35.85;34.02;33.58;32.69;33.84;32.3
21/09/2025;35.73;33.84;33.37;32.46;33.66;32.1
22/09/2025;35.61;33.66;33.17;32.22;33.47;31.9
23/09/2025;35.48;33.49;32.96;31.99;33.28;32.4
24/09/2025;35.36;33.31;32.76;31.76;33.09;32.4
25/09/2025;35.24;33.13;32.55;31.52;32.91;32.3
26/09/2025;35.12;32.95;32.34;31.29;32.72;32.2
27/09/2025;35.0;32.77;32.14;31.06;32.53;32.0
28/09/2025;34.88;32.59;31.93;30.83;32.34;31.9
29/09/2025;34.76;32.41;31.73;30.59;32.16;31.7
30/09/2025;34.64;32.23;31.52;30.36;31.97;31.5
01/10/2025;34.62;32.11;31.46;30.28;31.75;31.2
02/10/2025;34.6;31.99;31.4;30.19;31.53;31.0
03/10/2025;34.58;31.87;31.34;30.11;31.3;30.8
04/10/2025;34.55;31.74;31.27;30.03;31.08;30.5
05/10/2025;34.53;31.62;31.21;29.94;30.86;30.3
06/10/2025;34.51;31.5;31.15;29.86;30.64;30.1
07/10/2025;34.49;31.38;31.09;29.78;30.42;29.9
08/10/2025;34.47;31.26;31.03;29.69;30.19;29.7
09/10/2025;34.45;31.14;30.97;29.61;29.97;29.6
10/10/2025;34.42;31.01;30.9;29.53;29.75;29.5
11/10/2025;34.4;30.89;30.84;29.44;29.53;
12/10/2025;34.38;30.77;30.78;29.36;29.31;
13/10/2025;34.36;30.65;30.72;29.28;29.08;
14/10/2025;34.34;30.53;30.66;29.19;28.86;
15/10/2025;34.32;30.41;30.6;29.11;28.64;

